node_modules/ai/dist/index.d.ts(1605,64): error TS2694: Namespace 'Intl' has no exported member 'Segmenter'.
node_modules/zod/v4/locales/index.d.cts(21,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/it"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(22,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ja"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(23,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ka"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(24,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/kh"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(25,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/km"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(26,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ko"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(27,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/lt"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(28,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/mk"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(29,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ms"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(30,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/nl"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(31,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/no"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(32,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ota"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(33,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ps"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(34,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/pl"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(35,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/pt"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(36,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ru"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(37,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/sl"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(38,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/sv"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(39,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ta"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(40,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/th"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(41,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/tr"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(42,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ua"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(43,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/uk"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(44,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/ur"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(45,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/uz"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(46,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/vi"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(47,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/zh-CN"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(48,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/zh-TW"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(49,21): error TS1259: Module '"C:/Users/BIT/Desktop/sql_ai_agent/node_modules/zod/v4/locales/yo"' can only be default-imported using the 'esModuleInterop' flag
test2.ts(7,3): error TS2353: Object literal may only specify known properties, and 'maxToolRoundtrips' does not exist in type 'CallSettings & (Prompt & { model: LanguageModel; tools?: ToolSet; toolChoice?: ToolChoice<ToolSet>; stopWhen?: StopCondition<...> | StopCondition<...>[]; ... 22 more ...; _internal?: { ...; }; })'.
